ref_response_question,num_samples
what other information do you need?,1
what nights were you planning to stay and what's the size of your party?,1
what night would you like the reservation to begin?,1
what is your budge?,1
what else?,1
what else would you like to know about them?,1
what else would you like to know about meze bar?,1
what else do you need?,1
what else can tell you about them?,1
what else can i tell you about the hotel?,1
what else can i tell you about a and b guesthouse?,1
should i book a room for you?,1
should i book a room at hobsons house for you?,1
do you want to know more information about something else?,1
"i can try to select a larger one for you, if that's acceptable for you?",1
is that a deal-breaker?,1
is that a deal-breaker for you?,1
is that a deal breaker for you?,1
is indoor decor important for you?,1
"if you'd like i can request a larger room for you, or shall i search for another option?",1
"if you would like, i can book you a room?",1
"if that's important to you, perhaps we should look at other options?",1
"if that sounds good to you, then i will go ahead and book it?",1
"if seats are available and the weather is good, would you like to book an outdoor table?",1
"i suggest we look elsewhere, what do you think?",1
i hope that's enough to convince you to book?,1
"however, according to the reviews i have on hand for that location, the rooms are kept pretty clean.. sounds good, right?",1
should i book a room at autumn house for you?,1
how much space do you require for your stay?,1
how many people would you like to make a reservation for?,1
how many people will be dining?,1
how many nights would you like to reserve?,1
how else may i help you?,1
how does that sound or would you like me to check out other restaurants?,1
hope that's good enough to convince you to book?,1
have you made a decision?,1
guests find the beds to be extremely comfortable at a and b. would you like me to book a reservation for you?,1
does this sound like a place you'd like to visit?,1
does that sounds alright to you?,1
is that all right for your needs?,1
is that enough?,1
is that going to be a deal-breaker for you?,1
is that going to be a problem for you or would you like a reservation?,1
is there any other information you'd like me to find?,1
is there any other information you want to know about the restaurants?,1
is there any other information you need to know?,1
is there any other information i can help you find?,1
is there any other assistance i can provide you today?,1
"is there any more information you'd like to know about the acorn, and can i help you with any other bookings?",1
is there any more information you'd like me to find?,1
is there any more information i can help you with?,1
is there another location you'd like to learn more about?,1
is there a specific drink you're interested in?,1
is there a particular drink or further question you would like to ask about it?,1
is their anything else i can help with today?,1
is thee anything else you'd like to know about them?,1
is that within your budget?,1
is that the type of atmosphere you're looking for?,1
is that something that sounds good to you?,1
is that okay or do you want me to look for a fancier option?,1
is that ok with you?,1
is that important enough that i should look for another place for you?,1
is that going to be okay?,1
is that going to be an issue?,1
is that going to be an issue or should we make a reservation?,1
is that going to be a problem or should we keep your reservation?,1
does that sound like something you'd like to try?,1
does that sound like something you would be interested in?,1
does that sound like it would work for you?,1
do you want to make a reservation or do you have more questions?,1
do you want to make a reservation for you?,1
do you want to make a reservation for dinner?,1
do you want to make a reservation for a table there or look elsewhere?,1
do you want to make a reservation elsewhere?,1
do you want to make a reservation at the restaurant?,1
do you want to make a booking there now or can i answer any other questions?,1
do you want to look for other options?,1
do you want to look for another option?,1
do you want to look elsewhere or is that okay?,1
do you want to look elsewhere for a hotel?,1
do you want to look at someplace else?,1
do you want to look at some other options?,1
do you want to look at some other options or go ahead and make a reservation anyway?,1
do you want to look at some other options for your stay?,1
do you want to look at some other locations that might have a better view?,1
do you want to look at other options or do you want a reservation?,1
do you want to look at another restaurant or is this okay?,1
do you want to look at another option?,1
do you want to look at another location?,1
do you want to look at another location instead?,1
do you want to look at another location and cancel your reservation?,1
do you want to look at another hotel?,1
do you want to look at alternative options?,1
do you want to make a reservation now or do you have more questions?,1
do you want to make a reservation or do you have some other questions?,1
does that sound like it will work for you?,1
do you want to make a reservation or have any other questions?,1
does that sound like a restaurant that you'd like to go to?,1
does that sound like a place you'd like to go?,1
does that sound like a good situation for you?,1
does that sound like a good fit for you?,1
does that sound good to you or would you like me to find another restaurant?,1
does that sound good to you or would you like me to find another place?,1
does that sound good for you?,1
do you want to stay somewhere else?,1
do you want to search for another place?,1
do you want to make a reservation today?,1
"do you want to make a reservation there, or would you like to see some other options?",1
do you want to make a reservation there were you looking more choices?,1
do you want to make a reservation there today?,1
do you want to make a reservation there today or look at other places?,1
do you want to make a reservation there today or do you need to know anything else?,1
do you want to make a reservation there or look elsewhere?,1
do you want to make a reservation there or keep looking?,1
do you want to make a reservation there or do you want more options?,1
do you want to make a reservation there or do you need more information on it?,1
do you want to make a reservation there or do you need more information ?,1
do you want to make a reservation there or do you have more questions?,1
do you want to make a reservation somewhere else instead?,1
do you want to make a reservation or would you like to go some place else?,1
is there anything else for you today?,1
is there anything else i can answer for you ?,1
is there anything else i can answer for you about the hotel?,1
ready to book?,1
or is there something else you need?,1
or i should i help with another location?,1
"only one person said that the view was not that great, do you want to make a reservation?",1
"one person said it was nice and peaceful for them though, do you want to look elsewhere?",1
need me to book a room?,1
need anything else?,1
need a reservation?,1
maybe it moved since then?,1
may i tell you anything else about it?,1
may i please get the day and time you wish to reserve?,1
may i help you with something else?,1
may i help you with anything else today?,1
may i help with anything else?,1
may i book you a table?,1
may i book this for you?,1
let's find another option for you?,1
"it's right off the highway, will that work?",1
"it is close to one customer, and they like it, but other than that... want to change your reservation?",1
is this something that will be a problem?,1
is this helpful?,1
is there something else you'd like to ask?,1
is there something else you would like to have for your stay?,1
is there anyting else i can help you with?,1
or should i cancel the reservation?,1
shall i book a reservation there for you?,1
is there anything other information that you need?,1
shall i book a room for you or do you have additional questions?,1
should i add a request for outdoor dining to your reservation?,1
shall we book a reservation?,1
shall i try one of the other options for you instead?,1
shall i search for something else?,1
shall i search for an option with more value for the price?,1
shall i search for an option with cleaner rooms?,1
shall i search for an option further outside of the centre of town?,1
shall i search for a better option for you?,1
shall i seach for an option with better internet for you?,1
shall i note on your booking that you've requested a larger room?,1
shall i look for a better option?,1
shall i go ahead with the booking?,1
shall i go ahead and reserve a room?,1
shall i find another option for you?,1
shall i continue the search and find something quieter?,1
shall i check on little seoul for you instead?,1
shall i check on avaibility of tables for your visit?,1
shall i book?,1
shall i book you?,1
shall i book it?,1
"shall i book it, or can i answer anything else?",1
shall i book a table or keep looking?,1
shall i book a room?,1
is there anyting else i can do for you today?,1
is there anything more you would like to know about it before making a reservation?,1
is there anything else i can do to assist you?,1
is there anything else you need to know about the restaurant?,1
is there anything else you need to know about the bedouin restaurant?,1
is there anything else you need help with?,1
is there anything else you might like to know about them?,1
is there anything else you like to know about fitzbillies?,1
is there anything else you can help you with?,1
is there anything else that you would like to know?,1
is there anything else that you would like to know about gonville hotel?,1
is there anything else that you would like me to help you with at this time?,1
is there anything else that i can do for you today?,1
is there anything else that i can assist with?,1
is there anything else i may help you with?,1
is there anything else i could help you with?,1
is there anything else i can tell you about yu garden or any other facility?,1
is there anything else i can tell you about the property?,1
is there anything else i can tell you about the oak bistro?,1
is there anything else i can tell you about the dojo noodle bar?,1
is there anything else i can tell you about pizza hut fen ditton?,1
is there anything else i can help you with??,1
is there anything else i can help you with such as booking a table?,1
is there anything else i can help you with or would you like me to book it for you?,1
is there anything else i can help with today?,1
is there anything else i can find out for you about the gandhi?,1
is there anything else i can find out for you about meghna?,1
is there anything else you need to know about the hotel?,1
is there anything else you want assistance with?,1
is there anything further that i can help you with?,1
is there anything else you want to know about it?,1
is there anything else you'ld like to know about them?,1
is there anything else you'd like to know to help choose one?,1
is there anything else you'd like to know about them??,1
is there anything else you'd like to know about them or would you like to make a reservation?,1
is there anything else you'd like to know about the restaurant?,1
is there anything else you'd like to know about the lan hong house?,1
is there anything else you'd like to know about the gonville?,1
is there anything else you'd like to know about the archway house?,1
is there anything else you'd like to know about the alexander b&b?,1
is there anything else you'd like to know about royal standard?,1
is there anything else you'd like to know about royal spice?,1
is there anything else you'd like to know about either place?,1
is there anything else you'd like to know about cotto?,1
is there anything else you'd like to know about cityroomz?,1
is there anything else you'd like to know about bedouin?,1
is there anything else you would like to know about this location?,1
is there anything else you would like to know about their menu?,1
is there anything else you would like to know about the hotels?,1
is there anything else you would like more information on?,1
is there anything else you would like me to help you with?,1
is there anything else you would like information on?,1
is there anything else you would like information on about it?,1
is there anything else you would like help with today?,1
you interested?,1
